sample	cancer_type	sample_type	expression
TCGA-39-5022-01	LUSC	Primary Tumor	5.44
TCGA-39-5024-01	LUSC	Primary Tumor	4.24
TCGA-39-5027-01	LUSC	Primary Tumor	5.07
TCGA-39-5028-01	LUSC	Primary Tumor	5.73
TCGA-39-5029-01	LUSC	Primary Tumor	5.04
TCGA-39-5030-01	LUSC	Primary Tumor	5.6
TCGA-39-5031-01	LUSC	Primary Tumor	5.51
TCGA-39-5034-01	LUSC	Primary Tumor	4.5
TCGA-39-5035-01	LUSC	Primary Tumor	5.07
TCGA-39-5036-01	LUSC	Primary Tumor	5.63
TCGA-39-5037-01	LUSC	Primary Tumor	5.51
TCGA-39-5039-01	LUSC	Primary Tumor	5.48
TCGA-39-5040-01	LUSC	Primary Tumor	4.64
TCGA-39-5040-11	LUSC	Solid Tissue Normal	6.02
TCGA-3C-AAAU-01	BRCA	Primary Tumor	6.29
TCGA-3C-AALI-01	BRCA	Primary Tumor	5.96
TCGA-3C-AALJ-01	BRCA	Primary Tumor	6.03
TCGA-3C-AALK-01	BRCA	Primary Tumor	5.7
TCGA-3K-AAZ8-01	LIHC	Primary Tumor	5.88
TCGA-3L-AA1B-01	COAD	Primary Tumor	5.99
TCGA-3M-AB46-01	STAD	Primary Tumor	4.76
TCGA-3M-AB47-01	STAD	Primary Tumor	5.67
TCGA-3Z-A93Z-01	KIRC	Primary Tumor	5.59
TCGA-43-2576-01	LUSC	Primary Tumor	4.96
TCGA-43-2578-01	LUSC	Primary Tumor	4.45
TCGA-43-2581-01	LUSC	Primary Tumor	5.64
TCGA-43-3394-01	LUSC	Primary Tumor	5.35
TCGA-43-3394-11	LUSC	Solid Tissue Normal	6.52
TCGA-43-3920-01	LUSC	Primary Tumor	4.92
TCGA-43-5668-01	LUSC	Primary Tumor	5.8
TCGA-43-5670-01	LUSC	Primary Tumor	5.26
TCGA-43-5670-11	LUSC	Solid Tissue Normal	6.33
TCGA-43-6143-01	LUSC	Primary Tumor	5.26
TCGA-43-6143-11	LUSC	Solid Tissue Normal	6.31
TCGA-43-6647-01	LUSC	Primary Tumor	5.93
TCGA-43-6647-11	LUSC	Solid Tissue Normal	6.72
TCGA-43-6770-01	LUSC	Primary Tumor	5.02
TCGA-43-6771-01	LUSC	Primary Tumor	5.29
TCGA-43-6771-11	LUSC	Solid Tissue Normal	5.49
TCGA-43-6773-01	LUSC	Primary Tumor	5.74
TCGA-43-6773-11	LUSC	Solid Tissue Normal	6.51
TCGA-43-7656-01	LUSC	Primary Tumor	4.95
TCGA-43-7657-01	LUSC	Primary Tumor	5.34
TCGA-43-7657-11	LUSC	Solid Tissue Normal	6.63
TCGA-43-7658-01	LUSC	Primary Tumor	5.79
TCGA-43-7658-11	LUSC	Solid Tissue Normal	6.48
TCGA-43-8115-01	LUSC	Primary Tumor	5.85
TCGA-43-8116-01	LUSC	Primary Tumor	5.53
TCGA-43-8118-01	LUSC	Primary Tumor	5.46
TCGA-43-A474-01	LUSC	Primary Tumor	5.01
TCGA-43-A475-01	LUSC	Primary Tumor	6.81
TCGA-43-A56U-01	LUSC	Primary Tumor	5.92
TCGA-43-A56V-01	LUSC	Primary Tumor	4.47
TCGA-44-2655-01	LUAD	Primary Tumor	5.26
TCGA-44-2655-11	LUAD	Solid Tissue Normal	6.79
TCGA-44-2656-01	LUAD	Primary Tumor	6.09
TCGA-44-2657-01	LUAD	Primary Tumor	5.79
TCGA-44-2657-11	LUAD	Solid Tissue Normal	6.08
TCGA-44-2659-01	LUAD	Primary Tumor	6.4
TCGA-44-2661-01	LUAD	Primary Tumor	5.57
TCGA-44-2661-11	LUAD	Solid Tissue Normal	6.33
TCGA-44-2662-01	LUAD	Primary Tumor	4.3
TCGA-44-2662-11	LUAD	Solid Tissue Normal	5.82
TCGA-44-2665-01	LUAD	Primary Tumor	5.72
TCGA-44-2665-11	LUAD	Solid Tissue Normal	6.32
TCGA-44-2666-01	LUAD	Primary Tumor	6.68
TCGA-44-2668-01	LUAD	Primary Tumor	6.26
TCGA-44-2668-11	LUAD	Solid Tissue Normal	6.33
TCGA-44-3396-01	LUAD	Primary Tumor	5.91
TCGA-44-3396-11	LUAD	Solid Tissue Normal	6.61
TCGA-44-3398-01	LUAD	Primary Tumor	6.32
TCGA-44-3398-11	LUAD	Solid Tissue Normal	6.73
TCGA-44-3918-01	LUAD	Primary Tumor	6.62
TCGA-44-3919-01	LUAD	Primary Tumor	6.23
TCGA-44-4112-01	LUAD	Primary Tumor	6.58
TCGA-44-5643-01	LUAD	Primary Tumor	6.23
TCGA-44-5644-01	LUAD	Primary Tumor	4.85
TCGA-44-5645-01	LUAD	Primary Tumor	5.99
TCGA-44-5645-11	LUAD	Solid Tissue Normal	6.42
TCGA-44-6144-11	LUAD	Solid Tissue Normal	6.21
TCGA-44-6145-01	LUAD	Primary Tumor	5
TCGA-44-6145-11	LUAD	Solid Tissue Normal	6.05
TCGA-44-6146-01	LUAD	Primary Tumor	5.73
TCGA-44-6146-11	LUAD	Solid Tissue Normal	6.5
TCGA-44-6147-01	LUAD	Primary Tumor	6.76
TCGA-44-6147-11	LUAD	Solid Tissue Normal	5.89
TCGA-44-6148-01	LUAD	Primary Tumor	6.88
TCGA-44-6148-11	LUAD	Solid Tissue Normal	6.95
TCGA-44-6774-01	LUAD	Primary Tumor	5.18
TCGA-44-6775-01	LUAD	Primary Tumor	5.83
TCGA-44-6776-01	LUAD	Primary Tumor	6.28
TCGA-44-6776-11	LUAD	Solid Tissue Normal	5.8
TCGA-44-6777-01	LUAD	Primary Tumor	6.09
TCGA-44-6777-11	LUAD	Solid Tissue Normal	6.38
TCGA-44-6778-01	LUAD	Primary Tumor	5.54
TCGA-44-6778-11	LUAD	Solid Tissue Normal	6.23
TCGA-44-6779-01	LUAD	Primary Tumor	5.07
TCGA-44-7659-01	LUAD	Primary Tumor	5.93
TCGA-44-7660-01	LUAD	Primary Tumor	4.95
TCGA-44-7661-01	LUAD	Primary Tumor	6.99
TCGA-44-7662-01	LUAD	Primary Tumor	7.36
TCGA-44-7667-01	LUAD	Primary Tumor	5.68
TCGA-44-7669-01	LUAD	Primary Tumor	5.46
TCGA-44-7670-01	LUAD	Primary Tumor	5.18
TCGA-44-7671-01	LUAD	Primary Tumor	5.73
TCGA-44-7672-01	LUAD	Primary Tumor	6.59
TCGA-44-8117-01	LUAD	Primary Tumor	5.82
TCGA-44-8119-01	LUAD	Primary Tumor	6.08
TCGA-44-8120-01	LUAD	Primary Tumor	5.98
TCGA-44-A479-01	LUAD	Primary Tumor	6.24
TCGA-44-A47A-01	LUAD	Primary Tumor	5.63
TCGA-44-A47B-01	LUAD	Primary Tumor	5.47
TCGA-44-A47G-01	LUAD	Primary Tumor	5.71
TCGA-44-A4SS-01	LUAD	Primary Tumor	4.7
TCGA-44-A4SU-01	LUAD	Primary Tumor	5.88
TCGA-46-3765-01	LUSC	Primary Tumor	4.76
TCGA-46-3766-01	LUSC	Primary Tumor	5.05
TCGA-46-3767-01	LUSC	Primary Tumor	5
TCGA-46-3768-01	LUSC	Primary Tumor	6.33
TCGA-46-3769-01	LUSC	Primary Tumor	4.25
TCGA-46-6025-01	LUSC	Primary Tumor	5.37
TCGA-46-6026-01	LUSC	Primary Tumor	4.45
TCGA-49-4486-01	LUAD	Primary Tumor	6.19
TCGA-49-4487-01	LUAD	Primary Tumor	5.25
TCGA-49-4488-01	LUAD	Primary Tumor	7
TCGA-49-4490-01	LUAD	Primary Tumor	5.12
TCGA-49-4490-11	LUAD	Solid Tissue Normal	6.06
TCGA-49-4494-01	LUAD	Primary Tumor	6.08
TCGA-49-4501-01	LUAD	Primary Tumor	5.87
TCGA-49-4505-01	LUAD	Primary Tumor	5.95
TCGA-49-4506-01	LUAD	Primary Tumor	3.78
TCGA-49-4507-01	LUAD	Primary Tumor	4.17
TCGA-49-4510-01	LUAD	Primary Tumor	5.81
TCGA-49-4512-01	LUAD	Primary Tumor	6.6
TCGA-49-4512-11	LUAD	Solid Tissue Normal	6.36
TCGA-49-4514-01	LUAD	Primary Tumor	3.81
TCGA-49-6742-01	LUAD	Primary Tumor	4.68
TCGA-49-6742-11	LUAD	Solid Tissue Normal	6.71
TCGA-49-6743-01	LUAD	Primary Tumor	3.63
TCGA-49-6743-11	LUAD	Solid Tissue Normal	5.78
TCGA-49-6744-01	LUAD	Primary Tumor	5.83
TCGA-49-6744-11	LUAD	Solid Tissue Normal	6.43
TCGA-49-6745-01	LUAD	Primary Tumor	5.8
TCGA-49-6745-11	LUAD	Solid Tissue Normal	6.42
TCGA-49-6761-01	LUAD	Primary Tumor	7.05
TCGA-49-6761-11	LUAD	Solid Tissue Normal	6.03
TCGA-49-6767-01	LUAD	Primary Tumor	7.27
TCGA-49-AAQV-01	LUAD	Primary Tumor	5.92
TCGA-49-AAR0-01	LUAD	Primary Tumor	5.73
TCGA-49-AAR2-01	LUAD	Primary Tumor	4.88
TCGA-49-AAR3-01	LUAD	Primary Tumor	5.56
TCGA-49-AAR4-01	LUAD	Primary Tumor	6.04
TCGA-49-AAR9-01	LUAD	Primary Tumor	3.88
TCGA-49-AARE-01	LUAD	Primary Tumor	5.15
